id,server,secret,title,tags,views,description,date_taken,latitude,longitude,url_s,owner_name,owner,media,datetaken,in_city,classification
55163759728,65535,77c9ffee17,Marlborough Court - London (United Kingdom),europe unitedkingdom england uk britain greatbritain london spaceinvader spaceinvaders invader invaderwashere tiles carrelage carreaux mur wall street rue art artderue pixels mosaïques march 2025 meteorry ldn31 carnaby marlboroughcourt thewhitehorse newburghstreet orange blue bleu classic baloons balons pub restaurant bar nobody,222,"<b>LDN_31</b> [10 points]
This classic sized has been reported destroyed in October but I have seen this one on person during my stay in London for work in March 2025. Located at the pub The White Horse. This space invader is part of the first wave in London which took place in 1999 and consisted of 49 space invaders.
Onscreen FlashInvaders message: <i>IT WORKS</i>

All my photos of LDN_31: 
<a href=""https://www.flickr.com/photos/meteorry/55163912030""><b>LDN_31</b></a> (Close-up, March 2025)
<a href=""https://www.flickr.com/photos/meteorry/55163759728""><b>LDN_31</b></a> (Wide shot, March 2025)

Date of invasion: 15/06/1999 (world wide number 233)

<b>DELETED</b> reported October 2025

<u>INVASION OF LONDON</u>
London was invaded for the first time in 1999 and since then London has undergone in total 21 invasion waves throughout the years. London has in total 193 space invaders. The last invasion waves were in 2025. During wave 20 and 21 31 space invaders were added/ 
According to the information on Invader-Spotter 107 of the in total 193 space invaders are still there or re-activated. 
[ Invader-Spotter 03/2026 ]           
                                           ",2025-03-17 18:08:14,51.513489,-0.138659,https://live.staticflickr.com/65535/55163759728_77c9ffee17_m.jpg,Meteorry,24406544@N00,photo,2025-03-17 18:08:14,True,TOURIST
55023879291,65535,3a19d70d90,Quite some Taps...,handycam london pub uk zapfhahn zapfhähne bar cellphonecamera journey:uk=london202406 taps,239,,2024-06-09 13:26:03,51.546352,-0.055023,https://live.staticflickr.com/65535/55023879291_3a19d70d90_m.jpg,noluck,11929105@N00,photo,2024-06-09 13:26:03,True,TOURIST
55023879291,65535,3a19d70d90,Quite some Taps...,handycam london pub uk zapfhahn zapfhähne bar cellphonecamera journey:uk=london202406 taps,239,,2024-06-09 13:26:03,51.546352,-0.055023,https://live.staticflickr.com/65535/55023879291_3a19d70d90_m.jpg,noluck,11929105@N00,photo,2024-06-09 13:26:03,True,TOURIST
54957774981,65535,92cfe5392d,Vaulty Towers,pub public bar london city cityatnight citybuilding citylife citynight colorida colour color people,1413,London SE1,2025-11-06 18:50:52,51.501484,-0.111333,https://live.staticflickr.com/65535/54957774981_92cfe5392d_m.jpg,Jon Mangaba,21532219@N04,photo,2025-11-06 18:50:52,True,TOURIST
54957774981,65535,92cfe5392d,Vaulty Towers,pub public bar london city cityatnight citybuilding citylife citynight colorida colour color people,1413,London SE1,2025-11-06 18:50:52,51.501484,-0.111333,https://live.staticflickr.com/65535/54957774981_92cfe5392d_m.jpg,Jon Mangaba,21532219@N04,photo,2025-11-06 18:50:52,True,TOURIST
54883317396,65535,1203f6d715,Like chickens on a perch,biancoenero blackwhite bnw bw contrast europa europe menschen monochrome nb negroyblanco noiretblanc people photographiehumaniste schwarzweis sw whiteandblack whiteblack wolframbiermannzeitler blackwhitephotos vereinigteskönigreich unitedkingdom england london knightsbridge harrods luxurydepartmentstores store stores kaufhaus luxuskaufhaus luxury luxus austern oysters caviar champagner champagne seafood genuss gourmets feinschmecker geniesser connoisseurs likechickensonaperch wiediehühneraufderstange scene szene bar hindsight backsight rückwärtig interiordesign internicreativi innenarchitektur architecture architektur,1364,"Connoisseurs at oyster bar
Harrods Food Halls, Brompton Rd.
Knightsbridge, London
England, United Kingdom 21.12.2014

Wie Hühner auf der Stange
Geniesser in der Austernbar
Harrods Food Halls, Brompton Rd.
Knightsbridge, London
England, Vereinigtes Königreich 21.12.2014",2014-12-21 14:56:16,51.499078,-0.162949,https://live.staticflickr.com/65535/54883317396_1203f6d715_m.jpg,Wolfram Biermann-Zeitler,147123366@N06,photo,2014-12-21 14:56:16,True,TOURIST
54859817770,65535,7386574ac0,20251012 R5 London UK 190,london england unitedkingdom canon r5 travel wanderlust uk cockpit pub bar,114,,2025-10-12 11:31:38,51.512761,-0.096145,https://live.staticflickr.com/65535/54859817770_7386574ac0_m.jpg,James Scott S,37287420@N08,photo,2025-10-12 11:31:38,True,TOURIST
54825624245,65535,a31503046e,Control Room B,london england unitedkingdom wandsworth nineelms battersea batterseapowerstation powerplant shoppingmall bar interior,285,Battersea Power Station,2024-05-25 01:09:29,51.482071,-0.144141,https://live.staticflickr.com/65535/54825624245_a31503046e_m.jpg,Eridony,33988281@N00,photo,2024-05-25 01:09:29,True,TOURIST
54751235213,65535,c132a56157,Tattershall Castle,bar cityofwestminster london pstattershallcastle restaurant river riverthames tattershallcastle thames westminster,37,"<b>Westminster | City of Westminster | London | UK</b>

Tattershall Castle on the River Thames is a floating pub with a fascinating maritime past. Moored at Victoria Embankment, opposite the London Eye and near Whitehall, this vessel is actually the PS Tattershall Castle, a former Humber ferry built in 1934 by William Gray &amp; Co. in West Hartlepool. Originally serving the Kingston upon Hull–New Holland route, she ferried passengers and goods across the Humber estuary until 1973, even supporting WWII efforts by tethering barrage balloons and transporting troops. 

After being decommissioned, she was towed to London in 1976, briefly used as an art gallery, and eventually transformed into a pub and restaurant in 1982. Today, she’s a beloved part of London’s riverside scene, offering classic pub fare, comedy nights, and even a nightclub aboard the boat. Her name pays homage to the original Tattershall Castle in Lincolnshire, linking naval heritage with architectural legacy.",2025-05-02 16:18:11,51.504347,-0.123078,https://live.staticflickr.com/65535/54751235213_c132a56157_m.jpg,mister_wolf,77004873@N03,photo,2025-05-02 16:18:11,True,TOURIST
54740526974,65535,a673e82c2b,London - Westminster: Palace of Westminster from St. Stephen's Tavern,london england britain greatbritain unitedkingdom uk europe westminster cityofwestminster centrallondon palaceofwestminster gothic gothicrevival elizabethtower greatclock bigben clocktower tower augustuspugin ststephenstavern window bar pub,131,"St Stephen’s Tavern, at 10 Bridge Street in Westminster, was originally opened in 1875 and served for decades as a popular watering hole for MPs, journalists, and civil servants due to its location directly across from Parliament. It retains much of its late-Victorian character, including wood-panelled interiors, etched glass, and one of the few remaining division bells wired to alert MPs of a vote.

The Palace of Westminster, seat of the UK Parliament, stands on the north bank of the Thames and largely dates to Charles Barry and Augustus Pugin’s Gothic Revival reconstruction after the 1834 fire. Its layout includes the House of Commons and House of Lords chambers, with key features such as Westminster Hall, dating to 1099, preserved from the medieval palace.  At its northeast corner rises the Elizabeth Tower, designed by Augustus Pugin by completed after his death in 1859, housing the Great Clock and its most famous bell, Big Ben. Standing 96 meters tall, the tower’s four clock faces are each over 7 meters in diameter, making it one of the largest and most accurate public timepieces of its era. Big Ben itself weighs over 13 tons and has become a defining sound and symbol of London.  Originally called simply the Clock Tower, it was renamed in 2012 in honor of Queen Elizabeth II’s Diamond Jubilee.",2025-04-19 11:08:31,51.501061,-0.125409,https://live.staticflickr.com/65535/54740526974_a673e82c2b_m.jpg,wallyg,70323761@N00,photo,2025-04-19 11:08:31,True,TOURIST
